Ensembl Gene ID,EC Number,Gene Symbol and Synonyms,MitoCarta2.0_Score,MitoCarta3.0 Class,TrSSP prediction
ENSG00000005206,EC 3.4.23.-,IMP-4; PSL1; SPPL2B; PSH4; IMP4,-1.7857,0,0
ENSG00000005238,-,FAM214B; KIAA1539,-4.2621,0,0
ENSG00000005243,-,zeta2-COP; COPZ2,-10.6961,0,1
ENSG00000005249,-,PRKAR2; PRKAR2B; RII-BETA,-0.9827,0,1
ENSG00000005302,-,MSL3L1; MRSXBA; MSL3; MRXSBA; MRXS36,-4.0022,0,0
ENSG00000005339,EC 2.3.1.48; EC 2.3.1.-,KAT3A; RSTS1; CBP; MKHK1; RSTS; CREBBP,6.3802,0,0
ENSG00000005379,-,PBR-IP; PRAX-1; RIM-BP1; RIMBP1; TSPOAP1; PRAX1; BZRAP1,6.1239,0,0
ENSG00000005381,EC 1.11.2.2,MPO,-10.6961,0,0
ENSG00000005421,EC 3.1.1.2; EC 3.1.1.81; EC 3.1.8.1,PON1; ESA; PON; MVCD5,-7.9301,0,0
ENSG00000005436,-,GCFC2; DNABF; GCF; TCF9; C2orf3,1.3533,0,0
ENSG00000005448,-,WDR54,-2.86,0,0
ENSG00000005469,EC 2.3.1.137,CROT; COT,14.0373,1,0
ENSG00000005471,EC 7.6.2.1,MDR3; PFIC-3; ABC21; GBD1; ICP3; MDR2; ABCB4; MDR2/3; PGY3,1.3533,0,1
ENSG00000005483,-,ODLURO; KMT2E; HDCMC04P; MLL5; NKp44L,-10.6961,0,0
ENSG00000005486,-,RHBDD2; RHBDL7; NPD007,-6.2297,0,0
ENSG00000005513,-,SOX8,-6.2297,0,0
ENSG00000005700,-,BTBD26; BTKI; IBTK,0.4642,0,0
ENSG00000005801,-,ZNFP104; HRF1; ZNF195,-4.193,0,0
ENSG00000005810,EC 2.3.2.33,PHR1; PAM; MYCBP2; Myc-bp2; Phr,4.1784,0,0
ENSG00000005812,-,FBL3; FBL3A; IDDSFAS; FBXL3A; FBXL3,-6.2297,0,0
ENSG00000005844,-,ITGAL; LFA-1; CD11A; LFA1A,-10.6961,0,1
ENSG00000005882,EC 2.7.11.2,PDK2; PDKII; PDHK2,26.3227,1,0
ENSG00000005884,-,VCA-2; VL3A; ITGA3; FRP-2; ILNEB; MSK18; GAP-B3; VLA3a; GAPB3; CD49C,-4.7411,0,0
ENSG00000005889,-,ZFX; ZNF926,-6.2297,0,0
ENSG00000005893,-,LAMPB; CD107b; LGP-96; DND; LAMP-2; LAMP2; LGP110,-2.1652,0,0
ENSG00000005955,-,-,0,-1,-1
ENSG00000005961,-,BDPLT2; GTA; GPIIb; GT; BDPLT16; GP2B; CD41; HPA3; PPP1R93; CD41B; ITGA2B,10.5459,0,0
ENSG00000005981,-,ASB-4; ASB4,-3.2256,0,0
ENSG00000006007,EC 3.1.4.44; EC 3.1.4.-,GDE1; 363E6.2; MIR16,-4.3576,0,0
ENSG00000006015,-,REX1BD; C19orf60,-3.0047,0,0
ENSG00000006016,-,CISS1; zcytor5; CLF-1; CISS; CLF; CRLF1; NR6,-10.6961,0,0
ENSG00000006025,-,OSBPL7; ORP7,-5.5448,0,0
ENSG00000006042,-,TADA1; TMEM98,-4.079,0,0
ENSG00000006047,-,YBX2; DBPC; CONTRIN; MSY2; CSDA3,37.826,0,0
ENSG00000006059,-,Ha-3I; K33A; KRTHA3A; Krt1-3; hHa3-I; KRT33A; HA3I,-2.7697,0,0
ENSG00000006062,EC 2.7.11.25,FTDCR1B; MAP3K14; HSNIK; NIK; HS,-3.7952,0,0
ENSG00000006071,-,ABCC8; MRP8; PHHI; SUR1; SUR1delta2; ABC36; SUR; HHF1; HI; HRINS; PNDM3; TNDM2,0.9725,0,1
ENSG00000006074,-,-,0,-1,-1
ENSG00000006075,-,-,0,-1,-1
ENSG00000006114,-,-,0,-1,-1
ENSG00000006116,-,CACNG3,-10.6961,0,1
ENSG00000006118,-,TMEM132A; GBP; HSPA5BP1,0.0944,0,0
ENSG00000006125,-,AP2-BETA; ADTB2; AP2B1; AP105B; CLAPB1,-7.3762,0,0
ENSG00000006128,-,TAC1; NPK; TAC2; NK2; Hs.2563; NKNA,1.3533,0,0
ENSG00000006194,-,ZSCAN44; ZKSCAN12; ZNF263; FPM315,-2.2607,0,0
ENSG00000006210,-,ABCD-3; C3Xkine; CX3CL1; NTT; SCYD1; CXC3; NTN; fractalkine; CXC3C; neurotactin,0.9725,0,0
ENSG00000006282,-,SPATA20; HEL-S-98; Tisp78; SSP411,-1.3348,1,0
ENSG00000006283,-,NBR13; SCA42ND; CACNA1G; Ca(V)T.1; Cav3.1; SCA42,-0.8138,0,1
ENSG00000006327,-,FN14; TWEAKR; TNFRSF12A; CD266,-4.2621,0,0
ENSG00000006377,-,DLX6,-10.6961,0,0
ENSG00000006432,EC 2.7.11.25,MAP3K9; MEKK9; MLK1; PRKE1,-6.2297,0,0
ENSG00000006451,EC 3.6.5.2,RALA; RAL,-2.9098,0,1
ENSG00000006453,-,BAIAP2L1; IRTKS,-6.2297,0,0
ENSG00000006459,EC 1.14.11.-,KDM7A; JHDM1D,-8.6672,0,0
ENSG00000006468,-,ETV1; ER81,-10.6961,0,0
ENSG00000006530,EC 2.7.1.94; EC 2.7.1.138; EC 2.7.1.107,MULK; AGK; MTDPS10; CATC5; CTRCT38,18.158,1,0
ENSG00000006534,EC 1.2.1.7; EC 1.2.1.5; EC 1.2.1.28,ALDH3B1; ALDH7; ALDH4,-1.9231,0,1
ENSG00000006555,-,TTC22,1.3533,0,0
ENSG00000006576,-,PHTF2,-3.8147,0,0
ENSG00000006606,-,TSC-1; MIP-4alpha; SCYA26; IMAC; MIP-4a; CCL26,-10.6961,0,0
ENSG00000006607,-,FIR; FRG; FARP2; PLEKHC3,0.9725,0,0
ENSG00000006611,-,PDZ-73/NY-CO-38; PDZD7C; ush1cpst; AIE-75; DFNB18; DFNB18A; NY-CO-38; USH1C; PDZ-45; PDZ-73; PDZ73; NY-CO-37,-6.2297,0,0
ENSG00000006625,EC 4.3.2.9,C7orf24; GGC; GGCT; CRF21; GCTG,-3.2513,0,0
ENSG00000006634,-,CHIF; DBF4; ZDBF1; ASK; DBF4A,-10.6961,0,0
ENSG00000006638,-,TBXA2R; BDPLT13; TXA2-R,-10.6961,0,0
ENSG00000006652,-,TIS7; IFRD1; PC4,19.3217,0,1
ENSG00000006659,-,CLC2; PPL13; LGALS14,1.3533,0,0
ENSG00000006695,EC 2.5.1.141,COX10; MC4DN3,17.2748,1,0
ENSG00000006704,-,GTF2IRD1; BEN; CREAM1; GTF3; WBSCR11; MUSTRD1; RBAP2; WBS; hMusTRD1alpha1; WBSCR12,-3.8147,0,0
ENSG00000006712,-,F23149_1; PD2; PAF1,-3.8147,0,0
ENSG00000006715,-,HVSP41; hVps41p; VPS41; HVPS41,-8.2811,0,0
ENSG00000006740,-,ARHGAP44; NPC-A-10; RICH2,19.3217,0,0
ENSG00000006744,EC 3.1.26.11,ELAC2; COXPD17; ELC2; HPC2,19.3217,1,0
ENSG00000006747,-,SCIN,-8.2811,0,0
ENSG00000006756,EC 3.1.6.-,ARSD; ASD,-0.9827,0,0
ENSG00000006757,EC 3.1.1.3,DXS1283E; PNPLA4; GS2; iPLA2eta,4.7874,0,0
ENSG00000006788,-,MyHC-eo; MyHC-IIL; MYH13,-2.2248,0,0
ENSG00000006831,-,ACDCR2; ADIPOR2; PAQR2,-1.0377,0,0
ENSG00000006837,EC 2.7.11.22,NKIAMRE; CDKL3,-3.8147,0,0
ENSG00000007001,EC 2.4.2.3,UPASE2; UPP2; UP2; UDRPASE2,-8.6672,0,1
ENSG00000007038,EC 3.4.21.-,TEST1; TESTISIN; ESP-1; ESP1; PRSS21,-3.4081,0,0
ENSG00000007047,EC 2.7.11.1,MARK4S; MARK4; MARKL1L; MARK4L; MARKL1; PAR-1D,-0.9827,0,0
ENSG00000007062,-,PROM1; MCDR2; RP41; AC133; CD133; MSTP061; STGD4; PROML1; CORD12,-5.1848,0,0
ENSG00000007080,-,CCDC124,-7.8105,0,1
ENSG00000007129,-,CEACAM3; CEACAM21; R29124_1,-13.4554,0,0
ENSG00000007168,-,LIS1; LIS2; MDCR; NudF; PAFAH; PAFAH1B1; MDS,-0.3604,0,0
ENSG00000007171,EC 1.14.13.39,HEP-NOS; NOS2A; NOS; NOS2; INOS,-1.9426,0,0
ENSG00000007174,-,DNAH17L; Dnahc9; DNAH9; DNEL1; HL20; CILD40; DYH9; HL-20,4.5081,0,0
ENSG00000007202,-,KIAA0100; FMP27; BCOX1; CT101; BCOX,9.5794,1,0
ENSG00000007216,-,NADC1; SLC13A2; NaCT; NaDC-1; SDCT1,-10.6961,0,1
ENSG00000007237,-,GAS7,-3.7952,0,0
ENSG00000007255,-,TRAPPC6A; TRS33,19.3217,0,1
ENSG00000007264,EC 2.7.10.2,HYL; MATK; CHK; HYLTK; CTK; HHYLTK; Lsk,-2.86,0,0
ENSG00000007306,-,CEACAM7; CGM2,-13.4554,0,0
ENSG00000007312,-,IGB; B29; CD79B; AGM6,-10.6961,0,0
ENSG00000007314,-,SCN4A; HYKPP; HYPP; NAC1A; HOKPP2; CMS16; Na(V)1.4; Nav1.4; SkM1,-10.6961,0,1
ENSG00000007341,-,STLR; ST7L; FAM4B; ST7R,-8.0704,0,0
ENSG00000007350,EC 2.2.1.1,TKT2; TKTL1; TKR,9.1077,0,1
ENSG00000007372,-,WAGR; AN; AN1; ASGD5; FVH1; PAX6; D11S812E; MGDA; AN2,-5.2802,0,0
ENSG00000007376,-,RLUCL; RPUSD1; C16orf40,0.8625,0,0
ENSG00000007384,-,RHBDF1; C16orf8; gene-89; hDist1; EGFR-RS; Dist1; gene-90,-4.7411,0,0
ENSG00000007392,-,hLuc7B1; LUC7B1; SR+89; LUC7L; Luc7,-10.6961,0,0
ENSG00000007402,-,CACNA2D2; CASVDD; CACNA2D,-4.9114,0,0
ENSG00000007516,-,BAIAP3; BAP3,-3.9745,0,0
ENSG00000007520,EC 2.5.1.-,HsTsr3; C16orf42; TSR3,-4.2008,0,0
ENSG00000007541,EC 2.4.1.198,GPI1; DEE77; c407A10.1; EIEE77; PIGQ,10.5459,0,0
ENSG00000007545,-,HN1L; CRAMP1L; TCE4; CRAMP1,-5.6553,0,0
ENSG00000007866,-,TEAD3; TEAD5; TEAD-3; TEF-5; ETFR-1; DTEF-1; TEF5,-6.2297,0,0
ENSG00000007908,-,LECAM2; SELE; CD62E; ELAM1; ELAM; ESEL,-10.6961,0,0
ENSG00000007923,-,dJ126A5.1; DNAJC11,20.0999,1,0
ENSG00000007933,EC 1.14.13.8; EC 1.14.13.148; EC 1.14.14.73; EC 1.-.-.-,dJ127D3.1; FMOII; FMO3; TMAU,-3.8147,0,0
ENSG00000007944,EC 2.3.2.27,MYLIP; IDOL; MIR,-10.6961,0,0
ENSG00000007952,EC 1.-.-.-,MOX1; NOX1; GP91-2; NOH-1; NOH1,-3.3441,0,0
ENSG00000007968,-,E2F-2; E2F2,-3.8147,0,0
ENSG00000008018,EC 3.4.25.1,PSC5; PMSB1; PSMB1; HC5,2.7568,0,1
ENSG00000008056,-,SYN1a; SYN1; MRX50; SYNI; SYN1b,-5.3473,0,0
ENSG00000008083,-,JMJ; JARID2,2.2123,0,0
ENSG00000008086,EC 2.7.11.22,EIEE2; ISSX; CDKL5; DEE2; STK9; CFAP247,-6.2297,0,0
ENSG00000008118,EC 2.7.11.17,CLICKIII; CAMK1G; CLICK3; VWS1; dJ272L16.1,-6.2297,0,0
ENSG00000008128,EC 2.7.11.22,CDC2L3; CDK11-p58; PITSLRE; CDK11A; CDC2L2; CDK11-p110; CDK11-p46; p58GTA,1.3533,0,0
ENSG00000008130,EC 2.7.1.23,NADK; dJ283E3.1,4.3551,0,0
ENSG00000008196,-,PDA2; TFAP2B; AP2-B; AP-2B,-7.3762,0,0
ENSG00000008197,-,TFAP2BL1; TFAP2D,-7.3762,0,0
ENSG00000008226,-,CFAP81; FAP81; DLC-1; DLEC1; DLC1; F56,-3.2209,0,0
ENSG00000008256,-,GRP1; ARNO3; PSCD3; CYTH3; cytohesin-3,-0.9827,0,0
ENSG00000008277,-,ADAM22; ADAM 22; MDC2; DEE61; EIEE61,1.3533,0,0
ENSG00000008282,-,H-SP1; SYPL1; SYPL,-2.3491,0,1
ENSG00000008283,-,FRRS2; CYB561; CYB561A1; ORTHYP2,-2.7697,0,1
ENSG00000008294,-,HLC-6; JIP4; PIG6; SPAG9; JLP; HLC6; PHET; CT89; HLC4; JIP-4,-7.5961,0,0
ENSG00000008300,-,ADGRC3; CELSR3; CDHF11; EGFL1; MEGF2; FMI1; RESDA1; HFMI1,0.9725,0,0
ENSG00000008311,EC 1.5.1.9; EC 1.5.1.8,LORSDH; LKR/SDH; LKRSDH; AASS,13.1893,1,1
ENSG00000008323,-,PLEKHG6; MyoGEF,-6.2297,0,0
ENSG00000008324,-,SS18L2; KIAA-iso,2.6336,0,0
ENSG00000008382,EC 3.4.-.-,MPND,-7.1255,0,0
ENSG00000008394,EC 2.5.1.18,MGST-I; GST12; MGST1; MGST,8.3245,1,0
ENSG00000008405,-,DSPD; CRY1; PHLL1,-1.472,1,0
ENSG00000008438,-,TNFSF3L; PGLYRP1; PGRP-S; TAG7; PGLYRP; PGRP; PGRPS,-4.2008,0,0
ENSG00000008441,-,NFIX; NF-I/X; SOTOS2; NF1A; MRSHSS; CTF; NF1-X,-4.193,0,0
ENSG00000008513,EC 2.4.99.4,"ST3GAL1; ST3GalA; ST3O; SIAT4A; SIATFL; ST3GalIA,1; ST3GalA.1; ST3GalIA; Gal-NAc6S",-3.4081,0,0
ENSG00000008516,EC 3.4.24.-,MMP-25; MT-MMP6; MMP20; MMP25; MT-MMP 6; MMP20A; MMPL1; MT6-MMP; MT6MMP; MTMMP6,-10.6961,0,0
ENSG00000008517,-,IL-32alpha; IL-32gamma; TAIFa; TAIFb; TAIF; TAIFc; IL-32beta; TAIFd; IL-32delta; IL32; NK4,-10.6961,0,0
ENSG00000008710,-,PKD1; PBP; PC1; Pc-1; TRPP1,19.3217,0,0
ENSG00000008735,-,JIP2; PRKM8IPL; IB-2; IB2; MAPK8IP2,-6.2297,0,0
ENSG00000008838,-,MED24; DRIP100; THRAP4; MED5; TRAP100; ARC100; CRSP100; CRSP4,23.0794,0,0
ENSG00000008853,-,p83; DBC2; DEE64; EIEE64; RHOBTB2,1.3533,0,0
ENSG00000008869,-,p200; HEATR5B; p200a,-2.1416,0,0
ENSG00000008952,-,Dtrp1; HTP1; SEC62; TLOC1; TP-1,-10.6961,0,0
ENSG00000008988,-,uS10; RPS20; S20,-0.4595,0,0
ENSG00000009307,-,CSDE1; UNR; D1S155E,37.826,0,0
ENSG00000009335,EC 2.3.2.26,UBE3C; HECTH2,-2.7697,0,0
ENSG00000009413,EC 2.7.7.7,REV3L; POLZ; REV3,0.2734,0,0
ENSG00000009694,-,TENM1; ODZ3; TEN1; TNM1; ODZ1; ten-1; TNM; TEN-M1,-10.6961,0,0
ENSG00000009709,-,MYOSCO; HUP1; PAX7B; PAX7; RMS2,-8.2616,0,0
ENSG00000009724,EC 3.4.21.104,MAP19; sMAP; MASP2; MASP-2; MASP1P1,-6.2297,0,0
ENSG00000009765,EC 1.21.1.1,DEHAL1; IYD; IYD-1; C6orf71; TDH4,-7.8105,0,0
ENSG00000009780,-,FAM76A,-8.0704,0,1
ENSG00000009790,-,TRAF3IP3; T3JAM,-8.0704,0,0
ENSG00000009830,EC 2.4.1.109,MDDGB2; POMT2; LGMDR14; MDDGA2; MDDGC2; LGMD2N,1.3533,0,0
ENSG00000009844,-,VTA1; DRG1; C6orf55; SBP1; LIP5; DRG-1; HSPC228; My012,19.3217,0,0
ENSG00000009950,-,MLXIPL; CHREBP; MIO; MONDOB; WBSCR14; WS-bHLH; MLX; bHLHd14,-3.3441,0,0
ENSG00000009954,EC 2.7.10.2,WBSCR9; WBSCR10; WSTF; BAZ1B,-7.3762,0,0
ENSG00000010017,-,BPM-L; RanBP7; BPM90; RANBPM; RANBP9,-3.4637,0,0
ENSG00000010030,-,TELB; ETV7; TEL-2; TEL2,-11.021,0,0
ENSG00000010072,-,DVC1; spartan; C1orf124; SPRTN; PRO4323,17.7302,0,0
ENSG00000010165,EC 2.1.1.-,5630401D24Rik; METTL13; CGI-01; DFNB26M; KIAA0859; EEF1AKNMT; DFNB26; DFNM1; feat,-2.4214,0,0
ENSG00000010219,EC 2.7.12.1,DYRK4,-6.2297,0,0
ENSG00000010244,-,hBuGZ; ZNF207; BuGZ,-2.2607,0,0
ENSG00000010256,-,D3S3191; QCR1; UQCRC1; UQCR1,42.9037,1,0
ENSG00000010270,-,MENTHO; STARD3NL,7.3188,0,0
ENSG00000010278,-,CD9; DRAP-27; TSPAN29; BTCC-1; TSPAN-29; MIC3; MRP-1,0.9725,0,1
ENSG00000010282,-,OACT3; HHATL; MBOAT3; MSTP002; C3orf3; GUP1,15.9076,0,0
ENSG00000010292,-,CAP-D2; hCAP-D2; NCAPD2; MCPH21; CNAP1,-4.079,0,0
ENSG00000010295,-,HOM-TES-103; IFFO1; IFFO,-7.3854,0,0
ENSG00000010310,-,GIPR; PGQTL2,-8.2811,0,0
ENSG00000010318,-,NYD-SP6; HSPC226; PHF7; HSPC045,19.3217,0,0
ENSG00000010319,-,SEMA3G; sem2,-10.6961,0,0
ENSG00000010322,-,I-1; IR1; hIRAS; IRAS; NISCH,-4.3576,0,0
ENSG00000010327,-,STAB1; FELE-1; CLEVER-1; FEEL-1; STAB-1; FEX1; SCARH2,-0.9827,0,0
ENSG00000010361,-,FY; NTD; CPLANE3; FUZ,-4.079,0,0
ENSG00000010379,-,SLC6A13; GAT3; GAT-2; GAT2,-9.2075,0,0
ENSG00000010404,EC 3.1.6.13,IDS; ID2S; MPS2; SIDS,2.2123,0,0
ENSG00000010438,EC 3.4.21.4,PRSS4; TRY4; TRY3; PRSS3; MTG; T9,-6.2297,0,0
ENSG00000010539,-,ZNF200,-2.2607,0,0
ENSG00000010610,-,CD4mut; CD4,-8.6672,0,0
ENSG00000010626,-,LRPB7; LRRC23,1.3533,0,0
ENSG00000010671,EC 2.7.10.2,AT; ATK; XLA; AGMX1; BPK; IGHD3; PSCTK1; BTK; IMD1,-3.8147,0,0
ENSG00000010704,-,HH; HLA-H; TFQTL2; HFE1; HFE; MVCD7,-7.3762,0,0
ENSG00000010803,-,SCMH1; Scml3,-6.2297,0,0
ENSG00000010810,EC 2.7.10.2,FYN; SYN; SLK; p59-FYN,-4.7411,0,0
ENSG00000010818,-,MBP-2; MRD43; SHN2; ZNF40B; HIVEP2; HIV-EP2; MIBP1; ZAS2,-3.9389,0,0
ENSG00000010932,EC 1.14.13.8,FMO1,1.817,0,0
ENSG00000011007,-,TCEB3A; SIII; TCEB3; ELOA; SIII p110,-3.4081,0,0
ENSG00000011009,EC 3.1.2.-,DJ886K2.4; APT2; LYPLA2; APT-2,-1.7369,0,0
